Credit Union Name,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NUMBER OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,TOTAL OTHER LOANS,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
State Credit Union average,483622703.8,410112801.1,37552.65116,116341834.3,5852.44186,69049632.88,287194.6047,23045.53488,349580023.4,375950181.8,70064286.37,3583.72093,0,64504497.53,25154.11628,3805.186047,12400.09302,2019,3
Peer Credit Union average,1805464150,1506720276,131480.6857,336825797.9,19338.38675,226837899.7,1946407.186,79306.67026,1311920930,1302567450,175301494.4,9746.027735,0,254458157.8,80565.39908,8442.70416,58784.83821,2019,3
Credit Union One,818515395,720164798,67935,161838057,10481,272471093,351605,34003,675041409,705604958,79535819,5594,0,140667538,48439,3887,31524,2019,4
State Credit Union average,457229634.4,387891528.6,34273.34694,108402429.8,5311.142857,63877093.88,261450,20803.79592,328857608.4,355501830.2,64223096.8,3431.265306,0,59268837.65,22874.32653,3510.489796,13227.67347,2019,4
Peer Credit Union average,1861939434,1556699609,132323.0475,358123520.4,19330.96989,234685880.5,2102745.903,79710.07448,1346722033,1350828255,174201051.2,10074.6149,0,254351837.2,81854.65293,8421.824089,64046.09984,2019,4
Credit Union One,532264029,482495601,50049,173686759,5743,113349191,197580,23979,367113288,460005406,42758726,6543,0,61985050,34832,2625,0,2015,2
State Credit Union average,333560201.1,294576485.2,29056.47826,99443083.46,4850.978261,40214529.83,130158.7391,17818.56522,224197733.8,275592416,43105711.41,3347.5,0,47027851.52,18386.93478,2417.434783,5615.369565,2015,2
Peer Credit Union average,1329446946,1110340067,104721.1653,284315084.9,14058.2766,150882822.3,926060.0507,60671.98854,878258054.3,974251953,108481331.2,8621.363339,0,166323861.3,61532.90507,5626.589198,37012.36825,2015,2
Credit Union One,677884854,615062578,56985,196680122,7765,176978682,248227,26614,510558230,601383720,58339666,6241,0,94849674,39813,3266,4457,2017,2
State Credit Union average,397941277.6,349458178.5,31379.64,108940006.5,5105.46,59673430.62,160612.48,19438.64,281010717.7,329223226.2,56363887.04,3233.7,0,56862183.12,20354.42,3001,3021.1,2017,2
Peer Credit Union average,1534182512,1291174877,115338.4411,324761070.6,16763.6258,178565694.2,1308885.395,68400.27866,1070728907,1135047833,145819696.1,8680.197452,0,212402616.2,61034.97293,7001.805732,47526.38376,2017,2
Credit Union One,482869365,443951973,46888,167069501,4950,98553556,179087,20003,314121426,420415163,41474015,6847,0,51407380,32240,2637,0,2014,1
State Credit Union average,290956474,260005899.5,25392.75556,85087090.93,3993.377778,35172706.53,125176.2667,14557.2,184845980.7,238480987.4,30899593.24,3126.555556,0,36921520.62,16020.31111,1882.688889,7806.555556,2014,1
Peer Credit Union average,1109692499,958091020.7,88465.66179,248016051.2,11448.45528,123954448.9,591506.2293,48142.24228,675847587.5,841021767.8,76340372.09,7801.668293,0,127482917.3,49949.14797,4257.243902,35121.20813,2014,1
Credit Union One,756267023,674074148,63401,200809989,9223,203731220,432594,30983,604256676,661345612,70043836,6004,0,119885675,43681,3670,4992,2018,3
State Credit Union average,422103890.3,363954649.5,32367.31111,105426862,5294.688889,57363497.4,215668.2889,20147.51111,308108836.8,341903077.2,63968482.64,3243.466667,0,55976014.64,21086.13333,3500.2,6164.577778,2018,3
Peer Credit Union average,1669971026,1390857574,124900.7967,324104372.7,18424.59016,192621151.2,1773932.184,75123.95082,1217930660,1217836579,169133704.6,9094.404918,0,239917155.2,66574.69344,8089.640984,53816.65902,2018,3
Credit Union One,620664023,562986035,53775,189864909,6948,153357411,227687,24642,449085434,546299363,47208516,6357,0,78293698,37826,2871,0,2016,3
State Credit Union average,381611799.9,336528889.4,30996.14583,107805651.8,4962.4375,52389637.65,137846.8542,18867.8125,260359763.7,314328151.6,50569241.29,3317.208333,0,53598103.46,19960.41667,2768.4375,4706.291667,2016,3
Peer Credit Union average,1433727803,1200670358,109938.5283,302918058.8,15444.94992,160530105.1,1197309.625,64838.0937,978112377.6,1052983810,127945494.5,8631.491115,0,190926620.3,58616.03554,6388.019386,37683.18901,2016,3
